ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
31270,Masashi Ebinuma,M,26,170,66,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Bronze
31277,Nate Ebner,M,27,185,98,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
31279,Luzia Ebnther,F,30,164,69,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Silver
31280,Faissal Ebnoutalib,M,29,184,80,Germany,GER,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Welterweight,Silver
31284,Asghar Ebrahimi Farbad Kamachali,M,22,170,94,Iran,IRI,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
31284,Asghar Ebrahimi Farbad Kamachali,M,26,170,94,Iran,IRI,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
31285,Mohammad Ebrahimi,M,30,160,63,Afghanistan,AFG,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
31286,Saeid Ebrahimi,M,25,184,96,Iran,IRI,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
31289,Earl William Eby,M,25,179,60,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 800 metres,Silver
31290,Harold Kerr Eby,M,46,184,83,United States,USA,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",Gold
31291,Katie Rae Ebzery,F,26,178,70,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
31292,Fritz Eccard,M,27,182,86,Unknown,UNK,1912 Summer,1912,Summer,Stockholm,Art Competitions,Art Competitions Mixed Architecture,Gold
31293,Alejandro Echaniz Partida,M,22,170,70,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
31294,Paul chard,M,22,178,70,Socit Nautique de la Basse Seine-1,FRA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Fours,Silver
31295,Ricardo Echarte San Martn,M,25,180,81,Spain,ESP,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Middleweight,Gold
31296,Fernando Echavarri Erasum,M,35,180,76,Spain,ESP,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Gold
31296,Fernando Echavarri Erasum,M,43,180,76,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold
31300,Ramn Echegaray,M,17,165,55,Venezuela,VEN,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
31301,Tmara Echegoyen Domnguez,F,28,174,70,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
31301,Tmara Echegoyen Domnguez,F,32,174,70,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
31304,Julio Echenique Gonzlez,M,21,168,73,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middleweight,Bronze
31308,Guillermo Echevarra Prez,M,16,175,71,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
31309,Ivelisse Echevarra,F,39,190,85,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
31314,Ricardo Echeverra,M,34,169,75,Chile,CHI,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
31316,Emilio Echeverry de la Roche,M,27,175,68,Colombia,COL,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Individual",Silver
31316,Emilio Echeverry de la Roche,M,27,175,68,Colombia,COL,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Individual",Bronze
31316,Emilio Echeverry de la Roche,M,31,175,68,Colombia,COL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Individual",Bronze
31316,Emilio Echeverry de la Roche,M,35,175,68,Colombia,COL,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",Gold
31316,Emilio Echeverry de la Roche,M,35,175,68,Colombia,COL,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",Gold
31316,Emilio Echeverry de la Roche,M,35,175,68,Colombia,COL,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Individual",Gold
31317,Julio C. Echeverry F.,M,18,168,66,Colombia,COL,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's Sprint,Gold
31318,Octavio Echeverry Bernal,M,26,182,90,Colombia,COL,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
31318,Octavio Echeverry Bernal,M,30,182,90,Colombia,COL,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
31320,"Sheila Ann Echols (-Williams, -Gross)",F,23,165,52,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
31320,"Sheila Ann Echols (-Williams, -Gross)",F,23,165,52,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Long Jump,Gold
31320,"Sheila Ann Echols (-Williams, -Gross)",F,27,165,52,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Long Jump,Gold
31321,Barbara Eck,F,24,161,56,Austria,AUT,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Lightweight,Silver
31325,Edith Eckbauer (Baumann-),F,26,183,72,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxless Pairs,Bronze
31326,Torsten Eckbrett,M,24,188,81,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
31331,Neil J. Eckersley,M,20,168,60,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight,Bronze
31332,"Cynthia L. ""Cindy"" Eckert (-Rusher)",F,26,175,66,United States,USA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Silver
31337,Brbel Eckert-Wckel,F,21,174,62,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 200 metres,Gold
31337,Brbel Eckert-Wckel,F,21,174,62,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
31337,Brbel Eckert-Wckel,F,25,174,62,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,Gold
31337,Brbel Eckert-Wckel,F,25,174,62,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
31339,Maik Eckhardt,M,42,187,90,Germany,GER,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Bronze
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Gold
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,Bronze
31342,Tiril Kampenhaug Eckhoff,F,23,163,59,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
31344,Sndor Eckschmiedt,M,33,184,111,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Hammer Throw,Gold
31346,Bernhard Eckstein,M,25,164,57,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",Silver
31347,"Johannes ""Hans"" Eckstein",M,23,185,57,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver
31348,Rudolf Eckstein,M,21,185,98,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Fours,Gold
31358,Jan Stefan Edberg,M,22,186,77,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,Bronze
31358,Jan Stefan Edberg,M,22,186,77,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,Bronze
31360,"Jessica Jane ""Jess"" Eddie",F,23,178,75,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
31360,"Jessica Jane ""Jess"" Eddie",F,31,178,75,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
31370,Peta Louise Edebone,F,27,176,70,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
31370,Peta Louise Edebone,F,31,176,70,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
31370,Peta Louise Edebone,F,35,176,70,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
31377,Tino Edelmann,M,24,185,72,Germany,GER,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Bronze
31381,der Francis Carbonera,M,32,205,107,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
31383,"Elfriede ""Elfi"" Eder (-Rudolf)",F,24,171,62,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Slalom,Silver
31387,Josef Eder,M,25,180,78,Austria-1,AUT,1968 Winter,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Four,Silver
31391,Simon Eder,M,26,186,79,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
31391,Simon Eder,M,30,186,79,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
31394,"Gertrude Caroline ""Trudy"" Ederle",F,18,167,64,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Freestyle,Bronze
31394,"Gertrude Caroline ""Trudy"" Ederle",F,18,167,64,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 400 metres Freestyle,Bronze
31394,"Gertrude Caroline ""Trudy"" Ederle",F,18,167,64,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
31399,"David Holmes ""Dave"" Edgar",M,22,188,86,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
31400,Ross Samuel Edgar,M,25,168,72,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Keirin,Silver
31411,Johan Niklas Edin,M,28,171,80,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Bronze
31419,Ulf Niklas Alexander Edler,M,27,191,98,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
31421,Rolf Erik Sren Edling,M,32,196,91,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Team",Gold
31421,Rolf Erik Sren Edling,M,36,196,91,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
31424,Johan Viktor Edman,M,37,178,66,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
31425,Jonas Inge Rikard Edman,M,33,179,73,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
31426,Edmar Bernardes dos Santos,M,28,175,72,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
31433,"Alexander ""Alex"" Edmondson",M,22,184,76,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
31434,Annette Edmondson,F,20,171,65,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Omnium,Bronze
31435,Martin DeWayne Edmondson,M,32,183,98,United States,USA,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Running Target, 50 metres",Bronze
31439,Ian Edmunds,M,22,198,94,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze
31456,"Edson ""Edson Bispo"" Bispo dos Santos",M,25,195,86,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
31456,"Edson ""Edson Bispo"" Bispo dos Santos",M,29,195,86,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
31457,Ann-Louise Carina Edstrand,F,26,178,67,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
31457,Ann-Louise Carina Edstrand,F,30,178,67,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
31461,Sonja Viola Edstrm-Ruthstrm,F,25,178,74,Sweden,SWE,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
31461,Sonja Viola Edstrm-Ruthstrm,F,25,175,80,Sweden,SWE,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
31461,Sonja Viola Edstrm-Ruthstrm,F,29,174,55,Sweden,SWE,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
31463,Bonifacio Edu N'Dong,M,27,169,91,Equatorial Guinea,GEQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Gold
31463,Bonifacio Edu N'Dong,M,27,181,72,Equatorial Guinea,GEQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
31469,Vincent Franz Harry Edward,M,22,,,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,Bronze
31469,Vincent Franz Harry Edward,M,22,,,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 200 metres,Bronze
31473,Anthony John Edwards,M,23,183,72,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
31473,Anthony John Edwards,M,27,183,72,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
31473,Anthony John Edwards,M,31,183,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
31477,Darvin Edwards,M,25,185,86,Saint Lucia,LCA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,Gold
31484,Hugh Robert Arthur Edwards,M,25,187,83,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
31484,Hugh Robert Arthur Edwards,M,25,,88,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold
31487,Jonathan David Edwards,M,30,182,73,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,Silver
31487,Jonathan David Edwards,M,34,182,73,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,Gold
31490,"Kenneth Paine ""Ken"" Edwards",M,18,188,77,Western Golf Association-1,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
31493,Margaret Edwards (-Wilding),F,17,169,63,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,Bronze
31494,Mark Anthony Edwards,M,28,178,76,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,Gold
31496,Michelle Claire Edwards,F,30,155,58,South Africa,RSA,2004 Summer,2004,Summer,Athina,Badminton,Badminton Women's Doubles,Silver
31496,Michelle Claire Edwards,F,34,155,58,South Africa,RSA,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Doubles,Gold
31498,Norman Edwards,M,21,185,82,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
31503,"Philip Aron ""Phil"" Edwards",M,20,176,64,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
31503,"Philip Aron ""Phil"" Edwards",M,24,176,64,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,Bronze
31503,"Philip Aron ""Phil"" Edwards",M,24,176,64,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
31503,"Philip Aron ""Phil"" Edwards",M,24,176,64,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
31503,"Philip Aron ""Phil"" Edwards",M,28,176,64,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 800 metres,Bronze
31507,Teresa Edwards,F,20,175,68,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
31507,Teresa Edwards,F,24,175,68,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
31507,Teresa Edwards,F,28,175,68,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Bronze
31507,Teresa Edwards,F,32,175,68,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
31507,Teresa Edwards,F,36,175,68,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold
31508,Torri Mechelle Edwards,F,23,163,57,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
31513,Batrice Edwige,F,27,182,76,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
31521,Josef Effenberger,M,26,177,75,Czechoslovakia,TCH,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Silver
31521,Josef Effenberger,M,26,160,50,Czechoslovakia,TCH,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
31523,Horst Effertz,M,22,194,90,Germany,GER,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,Gold
31524,Bernd Effing,M,24,178,68,West Germany,FRG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Floor Exercise,Silver
31527,Ilian Ananiev Efremov,M,34,191,90,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,Silver
31527,Ilian Ananiev Efremov,M,38,191,90,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,Gold
31531,Rigas Efstathiadis,M,20,174,64,Greece,GRE,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Pole Vault,Silver
31533,Siri Eftedal (-Seland),F,26,160,48,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,Silver
31535,Ilektra-Elli Efthymiou,F,15,173,47,Greece,GRE,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
31542,Ayano Egami,F,20,170,58,Japan,JPN,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
31543,Yumi Egami-Maruyama,F,26,175,63,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Bronze
31544,Henry Chandler Egan,M,19,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,Silver
31544,Henry Chandler Egan,M,19,184,85,Western Golf Association-1,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
31545,"Kenneth ""Kenny"" Egan",M,26,187,81,Ireland,IRL,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Heavyweight,Silver
